_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
65fc838a9c9c7becc5736eca,,73.8,97.15,73.8,71.43,369;0;0;0,time,60,-1,3,60,0,5.99,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047562000
65fc833f9c9c7becc5736b21,,70.53,94.48,72.85,68.17,152;2;0;1,custom,custom,-1,0,25.86,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047487000
65fc830c9c9c7becc573689f,,79.4,97.08,79.4,76.64,397;0;0;0,time,60,-1,1,60,0,2.61,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047436000
65fc82bf9c9c7becc57364c8,,67.15,97.05,67.15,70.29,229;0;0;0,custom,custom,-1,0,40.92,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047359000
65fc82849c9c7becc57361e1,,76.4,96.24,77.2,74.13,382;1;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047300000
65fc823c9c9c7becc5735e61,,51.55,91.67,57.14,65.97,129;2;0;0,custom,custom,-1,0,30.03,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047228000
65fc821a9c9c7becc5735cbc,,60.65,95.62,60.65,78.89,240;0;0;0,custom,custom,-1,0,47.49,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047194000
65fc81e29c9c7becc5735a13,,66.4,97.38,66.4,76.73,332;0;0;0,time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047138000
65fc81a29c9c7becc573570a,,65.4,94.51,65.4,72.69,172;0;0;0,custom,custom,-1,0,31.56,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047074000
65fc817c9c9c7becc5735519,,68,98.01,68,68.82,340;0;0;0,time,60,-1,1,60,0,1.88,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047036000
65fc813b9c9c7becc5735222,,59.1,92.86,59.1,64.85,311;0;0;0,custom,custom,-1,0,63.15,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711046971000
65fc80f89c9c7becc5734ece,,61.8,95.78,63.6,70.77,309;2;0;0,time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711046904000
65fc80b49c9c7becc5734b5f,,58.63,94.74,60.03,73.14,333;1;0;0,custom,custom,-1,0,68.16,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711046836000
