_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
657bc5e26dbc38d1314e3588||21.26|96.12|21.26|56.61|100,0,0,0|words|25|-1|0|56.44|2|0|false|false|english|arrows|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702610402000
657bc58f6dbc38d1314e3300||22.21|89.29|22.21|25.71|125,0,0,0|words|25|-1|0|67.52|11|0|false|false|english|58008|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702610319000
657bc5446dbc38d1314e30c3||36.74|96.77|36.74|55.12|120,0,0,0|words|25|-1|0|39.19|0|0|false|false|english|58008|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702610244000
657bc50e6dbc38d1314e2f31||39.57|98.37|39.57|56.56|121,0,0,0|words|25|-1|0|36.69|1|0|false|false|english|58008|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702610190000
657bc4a76dbc38d1314e2c15||29.65|96.26|31.45|47.38|99,1,0,0|words|25|-1|1|40.07|1|20.49|false|false|english|58008|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702610087000
657bbff96dbc38d1314e072b||13.51|87.15|13.51|31.54|153,0,0,0|words|25|-1|0|135.9|18|0|false|false|english|ascii|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702608889000
657bbf126dbc38d1314e0011||10.47|80.84|10.47|27.3|171,0,0,0|words|25|-1|1|195.93|35|17.42|false|false|english|ascii|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702608658000
657bbc916dbc38d1314dec52||61.19|92.77|61.19|72.5|153,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702608017000
657bbc606dbc38d1314deadd||60.38|95.12|62.38|69.86|151,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702607968000
657bbc366dbc38d1314de999||54.77|96.58|54.77|74.7|137,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702607926000
657bbc0b6dbc38d1314de843||51.58|90.67|51.58|69.02|129,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702607883000
657bba926dbc38d1314dddc0|true|56.6|94.72|57.2|75.37|283,1,0,0|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702607506000
657bba326dbc38d1314ddb16||50.38|91.37|51.61|53.94|123,0,0,2|quote|1162|1|0|29.3|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702607410000
657bb0296dbc38d1314d8f82||41.89|93.55|41.89|58.75|142,0,0,0|quote|4349|1|0|40.68|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702604841000
657baffa6dbc38d1314d8e28||40.02|91.93|40.02|47.94|147,0,0,0|quote|5181|1|0|44.08|1|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702604794000
657bafa46dbc38d1314d8bb9||48.14|93.64|49.56|58.93|102,1,0,0|quote|3731|1|0|25.43|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702604708000
657baf4a6dbc38d1314d8930||40.17|93.24|40.17|51.82|196,0,0,0|quote|3219|1|0|58.55|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702604618000
657bad186dbc38d1314d78f6||27.4|88.55|27.4|40.14|573,0,0,0|custom|custom|-1|0|250.94|12|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702604056000
657babf26dbc38d1314d703d||40.16|94.39|40.16|51.2|256,0,0,0|quote|1853|1|0|76.49|3|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603762000
657bab826dbc38d1314d6d01||36.9|91.93|36.9|40.97|201,0,0,0|quote|385|1|0|65.37|2|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603650000
657bab056dbc38d1314d6903||47.53|94.78|47.53|59.73|107,0,0,0|quote|3992|1|0|27.02|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603525000
657baad36dbc38d1314d674a|true|26.8|89.22|28|36.59|134,1,0,0|time|60|-1|0|60|2|0|true|true|code_python_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603474000
657baa886dbc38d1314d6513||30.39|92.77|30.39|44.47|76,0,0,0|time|30|-1|0|30.01|0|0|true|true|code_python_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603400000
657ba9e36dbc38d1314d6050||32|93.33|32.8|47.79|80,1,0,0|time|30|-1|0|30|2|0|true|true|code_python_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603234000
657ba9b56dbc38d1314d5f17||26.39|85.71|28.79|32.24|66,1,0,0|time|30|-1|0|30.01|2|0|true|true|code_python_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702603189000
657b83096dbc38d1314c4d95||32.4|90.22|32.4|52.5|81,0,0,0|time|30|-1|0|30|0|0|true|true|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702593288000
657b82cc6dbc38d1314c4bb5||39.2|87.5|42.8|45.05|98,3,0,0|time|30|-1|0|30|0|0|true|true|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702593228000
